year,gdp_pc,edu_exp,water_acc,urban_pop,health_exp,life_exp,iso3,sfa_score,urban_water_idx,health_exp_growth,gdp_pc_lag1,health_exp_lag1,dea_score_lag1,sfa_score_lag1,dea_score
2001,0.8318899083145815,0.3569967455386194,0.4570440344234917,0.22795099051588305,0.860244988263683,0.6551453185304221,ABW,-0.15495612931392333,0.25826196943490154,-0.0010592011946000206,0.8239609568243217,0.8576538280055348,-0.276052380559822,-0.12768635873869297,0.5116094346078094
2002,0.8153268259070904,0.3965902950199102,0.46445784389304934,0.2256755021315478,0.8559296138624648,0.6868542454673148,ABW,-0.10187747383291484,0.2594687961855672,-0.17800981147237444,0.8544256003503465,0.8859468601252543,-0.3811731601181843,-0.11771004108943672,0.4881897982727783
2003,0.814985755962789,0.25547087723352463,0.4718716533626012,0.2220816244011539,0.8142414116703428,0.5578156521356876,ABW,-0.17840061951734773,0.2595397190746452,-0.379891961051666,0.8385952012732586,0.8818212106915024,-0.5037300240539604,-0.06662237918713852,0.4798230401925336
2004,0.8645953167625031,0.10901973769073028,0.47928546283215884,0.21737821716560718,0.8887484533502893,0.6986786215454833,ABW,-0.06385919957668,0.25864970768822243,0.2245626686798492,0.8382691355026365,0.8419410578536316,-0.5481526700146859,-0.14027512262984673,0.5584211553341575
2005,0.8344632908202513,0.26027958709728455,0.48669927230171656,0.21177413876023427,0.8313183166174258,0.5973667074005394,ABW,-0.10549836809530017,0.256974749452458,-0.4656691539287936,0.8856610233629595,0.9131851389222301,-0.14378375517007097,-0.030030179861247272,0.5198165308212882
2006,0.8276393423369851,0.28231757786710615,0.4941130817712742,0.20547825621929422,0.8341058728498854,0.5889087425776256,ABW,-0.08914408908730177,0.2546918026031608,-0.14046412012690868,0.8568844356139813,0.8582827603269596,-0.3388351883797458,-0.07010745280447797,0.492834541697766
2007,0.8508623092653214,0.30423121140605736,0.5015268912408261,0.19869945342642245,0.8645921479810723,0.6926214558879924,ABW,0.05171758242106876,0.25197875832217137,0.0034949957686276484,0.8503638183206668,0.8609495884375508,-0.47921570496719046,-0.0543666268727545,0.49243969798959714
2008,0.861571785350249,0.37235831660084073,0.5089407007103837,0.19164663720754394,0.8883106618059569,0.7555926940322834,ABW,0.13400830807860153,0.24901441219547557,-0.03176402347118676,0.8725490114201254,0.8901024123705441,-0.48129559303361846,0.08121128827596388,0.43470577277703376
2009,0.7299868112908353,0.8653958124301513,0.5163545101799414,0.18452874134802266,0.5700058507604502,0.19726464512752806,ABW,-0.2713760402497046,0.24597844517012382,-2.0136523427872923,0.8827746786204071,0.91276693748343,-0.7937376330621808,0.16041526833139338,0.3382355864070203
2010,0.7001963936702111,1.2974483194964328,0.5237683196494991,0.17759112618950762,0.5668606580563315,0.2811090274829799,ABW,-0.16741293157606943,0.24308289771013683,-0.17246096000111322,0.7569038765150526,0.6073824616408265,-1.3560004591292387,-0.22976301218835457,0.29342062605448516
