year,gdp_pc,edu_exp,water_acc,urban_pop,health_exp_pc,life_expectancy,iso3,dea_score,sfa_score
2000,1617.82647494969,3.7089131462035687,29.7309664339367,18.5581995230666,52.62894883883434,53.83429871333333,AFG,0.6668474924931281,0.8273344962015103
2000,6582.01638790869,3.3304500579834,86.3970424808695,41.6135829609314,223.93237823247,73.80968182333334,ALB,0.7678577316848901,0.9825254573330753
2000,11558.220469383,2.9771304022766207,88.9938081102024,59.8521239445692,295.342701735519,72.48900635666666,DZA,0.6027351912644395,0.964990989585628
2000,18532.222343148893,3.869199916013234,95.0344768560381,88.6075809307222,879.0175195826503,74.3344562997569,ASM,0.5048129005940447,0.9438015275675071
2000,54809.1441679423,5.647613107315387,99.9999977350507,92.2559356689453,1919.3412488621,79.28569017813658,AND,0.6073935695304059,0.943277583116814
2000,6796.40633958013,2.60753011703491,37.8422368865436,50.5070653484197,63.4081264953712,49.39822478333333,AGO,0.5913594467491876,0.7245718170670943
2000,25547.6120273679,3.738293160493657,97.4577878338136,32.2326072041227,831.942304710861,74.33202002333333,ATG,0.4815130783979224,0.9370056606000439
2000,22281.3814299958,4.58030986785889,96.2840256103646,89.1760271133454,1056.90910620696,74.29525625666668,ARG,0.4219911252720201,0.9325068776386041
2000,4589.00825039977,2.77272009849548,95.6686709319985,64.959237917436,109.428618123834,71.52843139333334,ARM,0.9182634331066211,0.9840965246855334
2000,37524.0346018738,4.71468019485474,95.23353621008,65.3545497799987,2163.8630735041634,76.9236504756048,ABW,0.5320989321350135,0.9251635281687345
2000,45099.0752097084,5.809159115313579,99.7122967555461,85.1071608578257,2138.46306850251,79.68761972666667,AUS,0.6031672714969817,0.9489781332962375
2000,53534.3421055422,5.62036991119385,99.9999997318786,66.7690238969566,2746.28813502934,78.08422743666667,AUT,0.4804425243515528,0.9201005589953372
2000,5656.92989378687,3.85399007797241,75.5627604174925,51.1320838928223,98.1932448542769,65.21995422,AZE,0.5015267569682117,0.9343122040347343
2000,34597.1621145274,2.23284006118774,98.0705934581737,81.0361161567684,969.627750957598,70.9594544,BHS,0.5202989657507701,0.8852385294230714
2000,57968.9956082135,4.20319644657408,99.958665400505,87.8356209595597,1451.19808418708,69.88802902666666,BHR,0.2722857480628432,0.8449797865459968
2000,2712.93512215725,2.12507009506226,94.5566591015105,23.3145114975244,27.2905550706384,65.4902151,BGD,1,0.9793040996670753
2000,21779.2203006868,4.71585988998413,98.0685680611877,62.5379397803044,803.830520872323,74.5552979,BRB,0.4340703450856115,0.9441221704245393
2000,11182.4548339393,6.19661998748779,97.8523126087327,69.9172295434732,316.620794668775,68.85536286333334,BLR,0.3389363737415525,0.9238338629454029
2000,50455.7338920672,5.262565130526208,99.9999953394811,82.0152520403035,2225.4593230779,77.64862146333333,BEL,0.491409733092943,0.923758144473051
2000,11363.6868781615,3.68356990814209,89.4207966981103,47.6836847507377,222.039780850378,70.29483034,BLZ,0.5305410306530411,0.9519232277350225
2000,2536.16885867097,2.11366009712219,61.053428974703,38.2759517258875,49.4583248058963,57.40139397666667,BEN,0.8145805446270897,0.8706499019072536
2000,98019.93147275,2.1177791743912415,100,100,4629.957330789246,82.32927786911006,BMU,1,0.9344546469965928
2000,5287.57434721684,5.78675985336304,83.7501240711568,27.5915239884015,123.368961106333,65.99840167333333,BTN,0.38698958448139387,0.9380712657698077
2000,7492.43381815499,4.062934938123735,81.2238988047302,61.8587201575591,147.649016788093,66.09855794666667,BOL,0.46061863822084276,0.9250470633431553
2000,7830.53433078343,4.518668458420995,97.4048252713074,42.5539898606589,378.347161512409,75.38298109666667,BIH,0.6325219534811171,0.9813710319259437
2000,13185.8171514278,6.888563564427084,75.45956642678,53.2047727398794,574.943563681776,47.31014937,BWA,0.18798201221612448,0.6286567043041705
2000,14005.347187072,3.94893002510071,93.5416689721765,81.1484365423806,757.760616421204,71.54480016333333,BRA,0.45499290671486375,0.9240436574907543
