IndicatorCode,Id,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
WHOSIS_000001,3046056,REGION,SEAR,YEAR,NA,NA,SEX,2017,SEX_BTSX,NA,NA,NA,NA,NA,NA,70.8 [70.3-71.4],70.7727814,70.28358972,71.38958113,NA,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
WHOSIS_000001,3048061,REGION,SEAR,YEAR,NA,NA,SEX,2018,SEX_MLE,NA,NA,NA,NA,NA,NA,69.4 [69.0-70.0],69.35230717,68.99382764,69.95930023,NA,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
WHOSIS_000001,3048588,COUNTRY,GBR,YEAR,EUR,Europe,SEX,2020,SEX_FMLE,NA,NA,NA,NA,NA,NA,82.0 [82.0-82.1],82.02902582,82.02768204,82.0949335,NA,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
WHOSIS_000001,3050530,COUNTRY,LBY,YEAR,EMR,Eastern Mediterranean,SEX,2003,SEX_FMLE,NA,NA,NA,NA,NA,NA,75.9 [75.5-76.3],75.90376278,75.5044523,76.34407168,NA,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
WHOSIS_000001,3051059,COUNTRY,BIH,YEAR,EUR,Europe,SEX,2003,SEX_BTSX,NA,NA,NA,NA,NA,NA,76.4 [76.3-76.5],76.3852253,76.30508031,76.53452899,NA,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
WHOSIS_000001,3052294,COUNTRY,SSD,YEAR,AFR,Africa,SEX,2002,SEX_MLE,NA,NA,NA,NA,NA,NA,51.9 [50.7-52.9],51.85574327,50.72536857,52.93138365,NA,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
WHOSIS_000001,3052318,COUNTRY,TTO,YEAR,AMR,Americas,SEX,2002,SEX_MLE,NA,NA,NA,NA,NA,NA,68.2 [67.9-68.5],68.16462919,67.90442515,68.51259001,NA,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
WHOSIS_000001,3052751,COUNTRY,SLE,YEAR,AFR,Africa,SEX,2000,SEX_MLE,NA,NA,NA,NA,NA,NA,48.0 [47.0-49.3],48.02961034,47.01938927,49.28483036,NA,2024-08-02T09:43:39.193+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
WHOSIS_000001,3052926,COUNTRY,COL,YEAR,AMR,Americas,SEX,2016,SEX_FMLE,NA,NA,NA,NA,NA,NA,80.3 [80.1-80.5],80.26122738,80.06683841,80.51554033,NA,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
WHOSIS_000001,3053837,REGION,EMR,YEAR,NA,NA,SEX,2012,SEX_FMLE,NA,NA,NA,NA,NA,NA,70.0 [69.5-70.7],70.01129709,69.4501078,70.73340124,NA,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
WHOSIS_000001,3055226,COUNTRY,LSO,YEAR,AFR,Africa,SEX,2012,SEX_BTSX,NA,NA,NA,NA,NA,NA,49.0 [47.7-50.4],49.02029182,47.72957735,50.44715412,NA,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
WHOSIS_000001,3057822,COUNTRY,CAN,YEAR,AMR,Americas,SEX,2013,SEX_FMLE,NA,NA,NA,NA,NA,NA,83.4 [83.4-83.5],83.42125568,83.41529667,83.49566003,NA,2024-08-02T09:43:39.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
WHOSIS_000001,3058479,COUNTRY,LBR,YEAR,AFR,Africa,SEX,2007,SEX_MLE,NA,NA,NA,NA,NA,NA,58.9 [57.9-59.9],58.948647,57.89885071,59.89100057,NA,2024-08-02T09:43:39.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
WHOSIS_000001,3058816,COUNTRY,AGO,YEAR,AFR,Africa,SEX,2015,SEX_BTSX,NA,NA,NA,NA,NA,NA,61.6 [60.6-62.5],61.59307464,60.63125466,62.48753952,NA,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
