indicatorId,geoUnit,year,value,qualifier,magnitude
FOSGP.5T8.F110,ASM,2007,1.886790037155151,,
FOSGP.5T8.F110,ATG,2009,19.07895088195801,,
FOSGP.5T8.F110,ATG,2010,41.08108108108108,,
FOSGP.5T8.F110,ATG,2011,21.2962962962963,,
FOSGP.5T8.F110,ATG,2012,77.95275590551181,,
FOSGP.5T8.F110,AUS,2000,11.75930976867676,,
FOSGP.5T8.F110,AUS,2002,9.845760345458984,,
FOSGP.5T8.F110,AUS,2003,9.831609725952148,,
FOSGP.5T8.F110,AUS,2005,9.595809936523438,,
FOSGP.5T8.F110,AUS,2006,9.667160034179688,,
FOSGP.5T8.F110,AUS,2007,9.125049591064453,,
FOSGP.5T8.F110,AUS,2008,8.806010246276855,,
FOSGP.5T8.F110,AUS,2009,8.63206958770752,,
FOSGP.5T8.F110,AUS,2011,7.533140182495117,,
FOSGP.5T8.F110,AUS,2013,7.670380115509033,,
FOSGP.5T8.F110,AUS,2014,7.681210041046143,,
FOSGP.5T8.F110,AUS,2015,8.60571002960205,,
FOSGP.5T8.F110,AUS,2017,9.995220184326172,,
FOSGP.5T8.F110,AUS,2018,8.639430046081543,,
FOSGP.5T8.F110,AUS,2019,8.363619804382324,,
FOSGP.5T8.F110,AUS,2020,8.057290077209473,,
FOSGP.5T8.F110,AUS,2021,7.817930221557617,,
FOSGP.5T8.F110,AUS,2022,8.849590301513672,,
FOSGP.5T8.F110,AUS,2023,10.11170959472656,,
FOSGP.5T8.F110,AUT,2007,7.587900161743164,,
FOSGP.5T8.F110,AUT,2008,8.570679664611816,,
FOSGP.5T8.F110,AUT,2009,9.982660293579102,,
FOSGP.5T8.F110,AUT,2010,8.379960060119629,,
FOSGP.5T8.F110,AUT,2011,8.639869689941406,,
FOSGP.5T8.F110,AUT,2012,10.16471004486084,,
FOSGP.5T8.F110,AUT,2013,10.90369987487793,,
FOSGP.5T8.F110,AUT,2014,11.45983982086182,,
FOSGP.5T8.F110,AUT,2015,12.71173000335693,,
FOSGP.5T8.F110,AUT,2016,12.23705005645752,,
FOSGP.5T8.F110,AUT,2018,11.58500003814697,,
FOSGP.5T8.F110,AUT,2019,11.30303955078125,,
FOSGP.5T8.F110,AUT,2020,11.91584968566895,,
FOSGP.5T8.F110,AUT,2021,12.59208965301514,,
FOSGP.5T8.F110,AUT,2022,11.64529037475586,,
FOSGP.5T8.F110,AUT,2023,11.50697994232178,,
FOSGP.5T8.F110,AUT,2024,11.60461044311523,,
FOSGP.5T8.F110,AZE,2008,19.61338043212891,,
FOSGP.5T8.F110,AZE,2009,18.58650970458984,,
FOSGP.5T8.F110,AZE,2010,18.47132511254648,,
FOSGP.5T8.F110,AZE,2011,18.02091033900095,,
FOSGP.5T8.F110,AZE,2012,18.07474807602364,,
FOSGP.5T8.F110,AZE,2013,14.97115839243499,,
FOSGP.5T8.F110,AZE,2014,24.26773840585809,,
FOSGP.5T8.F110,AZE,2015,25.85951979342371,,
FOSGP.5T8.F110,AZE,2016,26.7492344071016,,
FOSGP.5T8.F110,AZE,2017,30.00768302052464,,
FOSGP.5T8.F110,AZE,2018,29.70884554949625,,
FOSGP.5T8.F110,AZE,2019,22.79655009451796,,
FOSGP.5T8.F110,AZE,2020,24.10291528076697,,
FOSGP.5T8.F110,AZE,2021,22.99606721487308,,
FOSGP.5T8.F110,AZE,2022,21.90565386700843,,
FOSGP.5T8.F110,AZE,2023,21.5187449127791,,
FOSGP.5T8.F110,AZE,2024,22.37085939309706,,
FOSGP.5T8.F110,BDI,2001,32.80839920043945,,
FOSGP.5T8.F110,BDI,2004,48.81570816040039,,
FOSGP.5T8.F110,BDI,2010,30.15075376884422,,
FOSGP.5T8.F110,BDI,2012,21.26093874303898,,
FOSGP.5T8.F110,BDI,2013,16.81706316652994,,
FOSGP.5T8.F110,BDI,2014,1.977011494252873,,
FOSGP.5T8.F110,BDI,2015,33.70626380674125,,
FOSGP.5T8.F110,BDI,2016,3.933747412008282,,
FOSGP.5T8.F110,BDI,2017,4.575596816976128,,
FOSGP.5T8.F110,BDI,2018,2.540942928039702,,
FOSGP.5T8.F110,BDI,2025,7.991489887237549,,
FOSGP.5T8.F110,BEL,2000,15.39904975891113,,
FOSGP.5T8.F110,BEL,2001,14.166259765625,,
FOSGP.5T8.F110,BEL,2002,15.40190982818604,,
FOSGP.5T8.F110,BEL,2006,17.17067909240723,,
FOSGP.5T8.F110,BEL,2008,12.96170997619629,,
FOSGP.5T8.F110,BEL,2009,13.1124095916748,,
FOSGP.5T8.F110,BEL,2010,12.29586982727051,,
FOSGP.5T8.F110,BEL,2011,12.01469993591309,,
FOSGP.5T8.F110,BEL,2012,14.86882019042969,,
FOSGP.5T8.F110,BEL,2013,9.465720176696777,,
FOSGP.5T8.F110,BEL,2014,9.018110275268555,,
FOSGP.5T8.F110,BEL,2015,9.388959884643555,,
FOSGP.5T8.F110,BEL,2016,8.577230453491211,,
FOSGP.5T8.F110,BEL,2017,8.386119842529297,,
FOSGP.5T8.F110,BEL,2018,7.883709907531738,,
FOSGP.5T8.F110,BEL,2019,7.715690135955811,,
FOSGP.5T8.F110,BEL,2020,8.110179901123047,,
FOSGP.5T8.F110,BEL,2021,8.76317024230957,,
FOSGP.5T8.F110,BEL,2022,8.760970115661621,,
FOSGP.5T8.F110,BEL,2023,8.68362045288086,,
FOSGP.5T8.F110,BEN,2011,3.679769992828369,,
FOSGP.5T8.F110,BEN,2014,0.8086699843406677,,
FOSGP.5T8.F110,BEN,2015,0.2352599948644638,,
FOSGP.5T8.F110,BEN,2018,9.811690330505371,,
FOSGP.5T8.F110,BEN,2019,7.132269859313965,,
FOSGP.5T8.F110,BEN,2020,9.792810440063477,,
FOSGP.5T8.F110,BEN,2021,2.647340059280396,,
FOSGP.5T8.F110,BEN,2022,2.651129961013794,,
FOSGP.5T8.F110,BFA,2010,8.603964571910586,,
FOSGP.5T8.F110,BFA,2011,7.563252604519009,,
FOSGP.5T8.F110,BFA,2012,10.28006589785832,,
FOSGP.5T8.F110,BFA,2013,6.61259364745217,,
FOSGP.5T8.F110,BFA,2014,8.811748998664887,,
FOSGP.5T8.F110,BFA,2015,7.386363636363637,,
FOSGP.5T8.F110,BFA,2016,10.2235228192516,,
FOSGP.5T8.F110,BFA,2017,13.52091775583585,,
FOSGP.5T8.F110,BFA,2018,1.578137028483449,,
FOSGP.5T8.F110,BFA,2019,4.496818970503181,,
FOSGP.5T8.F110,BFA,2020,24.73262888248479,,
FOSGP.5T8.F110,BFA,2021,14.98690763464599,,
FOSGP.5T8.F110,BFA,2022,1.481693363844394,,
FOSGP.5T8.F110,BFA,2024,0.6702702702702703,,
FOSGP.5T8.F110,BGD,2012,3.757626003088373,,
FOSGP.5T8.F110,BGD,2014,3.775430538214539,,
FOSGP.5T8.F110,BGD,2016,1.216711696282168,,
FOSGP.5T8.F110,BGD,2017,1.216711696403739,,
FOSGP.5T8.F110,BGD,2018,1.187116727223572,,
FOSGP.5T8.F110,BGD,2019,1.208429550065138,,
FOSGP.5T8.F110,BGD,2020,1.208256392353976,,
FOSGP.5T8.F110,BGR,2000,9.940489768981934,,
FOSGP.5T8.F110,BGR,2001,12.35054016113281,,
FOSGP.5T8.F110,BGR,2002,9.664219856262207,,
FOSGP.5T8.F110,BGR,2003,9.564900398254395,,
FOSGP.5T8.F110,BGR,2004,8.105400085449219,,
FOSGP.5T8.F110,BGR,2005,7.689300060272217,,
FOSGP.5T8.F110,BGR,2007,6.921259880065918,,
FOSGP.5T8.F110,BGR,2008,6.253870010375977,,
FOSGP.5T8.F110,BGR,2009,6.361259937286377,,
FOSGP.5T8.F110,BGR,2010,5.478909969329834,,
FOSGP.5T8.F110,BGR,2011,5.585309982299805,,
FOSGP.5T8.F110,BGR,2012,0,,NIL
FOSGP.5T8.F110,BGR,2013,7.009620189666748,,
FOSGP.5T8.F110,BGR,2014,7.645209789276123,,
FOSGP.5T8.F110,BGR,2015,8.018569946289062,,
FOSGP.5T8.F110,BGR,2016,8.82863998413086,,
FOSGP.5T8.F110,BGR,2017,8.911009788513184,,
FOSGP.5T8.F110,BGR,2018,9.41996955871582,,
FOSGP.5T8.F110,BGR,2019,10.41699028015137,,
FOSGP.5T8.F110,BGR,2020,12.74512004852295,,
FOSGP.5T8.F110,BGR,2021,13.96455001831055,,
FOSGP.5T8.F110,BGR,2023,16.63039970397949,,
FOSGP.5T8.F110,BHR,2003,11.62427043914795,,
FOSGP.5T8.F110,BHR,2005,8.228639602661133,,
FOSGP.5T8.F110,BHR,2006,5.380080223083496,,
FOSGP.5T8.F110,BHR,2014,4.006586169045005,,
FOSGP.5T8.F110,BHR,2015,4.990335617641891,,
FOSGP.5T8.F110,BHR,2016,3.483890858640357,,
FOSGP.5T8.F110,BHR,2017,6.580226904376013,,
FOSGP.5T8.F110,BHR,2018,5.961830771829083,,
FOSGP.5T8.F110,BHR,2019,4.748816613223393,,
FOSGP.5T8.F110,BHR,2020,6.454733932273669,,
FOSGP.5T8.F110,BHR,2021,8.32359433839761,,
FOSGP.5T8.F110,BHR,2022,10.25670675300648,,
FOSGP.5T8.F110,BHR,2023,10.19301669919757,,
FOSGP.5T8.F110,BHR,2024,7.873428510547624,,
FOSGP.5T8.F110,BIH,2015,11.90441036224365,,
FOSGP.5T8.F110,BIH,2016,11.23900032043457,,
FOSGP.5T8.F110,BIH,2017,10.72739028930664,,
FOSGP.5T8.F110,BIH,2018,11.56620025634766,,
FOSGP.5T8.F110,BIH,2019,11.90489959716797,,
FOSGP.5T8.F110,BIH,2020,10.62306022644043,,
FOSGP.5T8.F110,BIH,2021,10.76097965240479,,
FOSGP.5T8.F110,BIH,2022,11.41081047058105,,
FOSGP.5T8.F110,BIH,2023,8.21798038482666,,
FOSGP.5T8.F110,BLR,2004,14.20559978485107,,
FOSGP.5T8.F110,BLR,2005,13.85531997680664,,
FOSGP.5T8.F110,BLR,2007,13.34584045410156,,
