population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,1993,49185579.14307427,49551032.846824564,48782241.16854577
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,1993,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,1993,881.4469858242429,887.9962238578547,874.2188297648744
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,1995,49878658.17581665,50288457.49080984,49457258.36623539
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,1995,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,1995,870.1393557355909,877.2883554274462,862.7879839820919
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,1994,50293925.11217164,50885001.7690666,49705005.792502455
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,1994,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,1994,888.9963825268561,899.4442648228542,878.5866333649368
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,1996,50033821.95791637,50530758.27167643,49604630.86803437
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,1996,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,1996,861.6100079937493,870.1675253793147,854.2191007251593
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,1997,50115376.685222305,50604489.82042772,49631450.13572626
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,1997,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,1997,851.9998026300813,860.3151006927149,843.7726804985283
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,1998,50424708.035445884,50868827.49777275,50018621.79340002
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,1998,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,1998,846.4553142704414,853.9105340169444,839.6385398948672
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,1999,50736400.32757585,51198954.73546987,50334706.573642194
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,1999,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,1999,841.0765477006339,848.7444875229991,834.417518017605
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,2000,50746089.58199774,51060785.48475041,50430843.99712593
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,2000,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,2000,830.7693575281302,835.9212759340621,825.6084402207118
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,2001,50828187.053754374,51233195.69737988,50440955.36563793
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,2001,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,2001,821.6850621331137,828.2324046962065,815.4251006402249
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,2002,51151988.402269386,51563925.97954478,50738720.46545184
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,2002,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,2002,816.501192125775,823.0766456600866,809.9045030503623
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,2003,51388721.957802214,51819476.482806966,51025442.84865567
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,2003,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,2003,809.8464063258001,816.634763591624,804.1214092870109
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,2004,51225702.256888136,51628222.87234739,50838806.559242465
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,2004,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,2004,796.9534998528143,803.2157900532382,790.9342972507596
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,2005,51133817.320171684,51510255.95980753,50754984.338583805
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,2005,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,2005,785.175822994328,790.9561565225724,779.358723593491
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,2007,51221686.7263185,51640962.512747385,50828560.547074385
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,2007,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,2007,765.9422628226571,772.2118932297924,760.0636599388057
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,2006,50981007.71068012,51345757.66154913,50572359.9785878
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,2006,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,2006,772.6139645769468,778.141727135495,766.4209339056233
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,2008,51663770.44209643,52060053.393965684,51289379.06653796
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,2008,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,2008,762.2725851424941,768.1195379990962,756.7486313299886
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,2009,51339991.648265965,51697587.39543424,51007400.63535839
